rating,userId,petId,timestamp
4.0,1,1,964982703
4.0,1,3,964981247
4.0,1,6,964982224
5.0,1,47,964983815
5.0,1,50,964982931
3.0,1,70,964982400
5.0,1,101,964980868
4.0,1,110,964982176
5.0,1,151,964984041
5.0,1,157,964984100
5.0,1,163,964983650
5.0,1,216,964981208
3.0,1,223,964980985
5.0,1,231,964981179
4.0,1,235,964980908
5.0,1,260,964981680
3.0,1,296,964982967
3.0,1,316,964982310
5.0,1,333,964981179
4.0,1,349,964982563
4.0,1,356,964980962
5.0,1,362,964982588
4.0,1,367,964981710
3.0,1,423,964982363
4.0,1,441,964980868
5.0,1,457,964981909
4.0,1,480,964982346
3.0,1,500,964981208
5.0,1,527,964984002
4.0,1,543,964981179
4.0,1,552,964982653
5.0,1,553,964984153
4.0,1,590,964982546
4.0,1,592,964982271
4.0,1,593,964983793
5.0,1,596,964982838
5.0,1,608,964982931
3.0,1,648,964982563
5.0,1,661,964982838
3.0,1,673,964981775
4.0,1,733,964982400
3.0,1,736,964982653
3.0,1,780,964984086
4.0,1,804,964980499
5.0,1,919,964982475
5.0,1,923,964981529
5.0,1,940,964982176
4.0,1,943,964983614
5.0,1,954,964983219
3.0,1,1009,964981775
5.0,1,1023,964982681
5.0,1,1024,964982876
5.0,1,1025,964982791
5.0,1,1029,964982855
3.0,1,1030,964982903
5.0,1,1031,964982653
5.0,1,1032,964982791
4.0,1,1042,964981179
5.0,1,1049,964982400
4.0,1,1060,964980924
5.0,1,1073,964981680
5.0,1,1080,964981327
5.0,1,1089,964982951
4.0,1,1090,964984018
5.0,1,1092,964983484
5.0,1,1097,964981680
4.0,1,1127,964982513
5.0,1,1136,964981327
5.0,1,1196,964981827
5.0,1,1197,964981872
5.0,1,1198,964981827
5.0,1,1206,964983737
4.0,1,1208,964983250
5.0,1,1210,964980499
5.0,1,1213,964982951
4.0,1,1214,964981855
2.0,1,1219,964983393
5.0,1,1220,964981909
5.0,1,1222,964981909
5.0,1,1224,964984018
5.0,1,1226,964983618
5.0,1,1240,964983723
5.0,1,1256,964981442
3.0,1,1258,964983414
4.0,1,1265,964983599
5.0,1,1270,964983705
5.0,1,1275,964982290
5.0,1,1278,964983414
5.0,1,1282,964982703
5.0,1,1291,964981909
5.0,1,1298,964984086
4.0,1,1348,964983393
3.0,1,1377,964982653
3.0,1,1396,964983017
3.0,1,1408,964982310
3.0,1,1445,964984112
4.0,1,1473,964980875
4.0,1,1500,964980985
5.0,1,1517,964981107
4.0,1,1552,964982620
5.0,1,1573,964982290
3.0,1,1580,964981125
5.0,1,1587,964982346
5.0,1,1617,964982951
4.0,1,1620,964983056
5.0,1,1625,964983504
3.0,1,1644,964983536
3.0,1,1676,964982620
5.0,1,1732,964981125
4.0,1,1777,964981230
4.0,1,1793,964981404
5.0,1,1804,964983034
4.0,1,1805,964983056
4.0,1,1920,964981780
5.0,1,1927,964981497
5.0,1,1954,964982176
4.0,1,1967,964981710
4.0,1,2000,964982211
5.0,1,2005,964981710
4.0,1,2012,964984176
5.0,1,2018,964980523
4.0,1,2028,964981888
5.0,1,2033,964982903
4.0,1,2046,964982563
5.0,1,2048,964982791
4.0,1,2054,964981747
5.0,1,2058,964982400
5.0,1,2078,964982838
5.0,1,2090,964982838
3.0,1,2093,964981710
5.0,1,2094,964982653
4.0,1,2096,964982838
4.0,1,2099,964982588
4.0,1,2105,964981725
5.0,1,2115,964982529
5.0,1,2116,964982876
5.0,1,2137,964982791
5.0,1,2139,964982791
5.0,1,2141,964982838
4.0,1,2143,964981725
5.0,1,2161,964981710
4.0,1,2174,964981680
4.0,1,2193,964981710
2.0,1,2253,964981775
4.0,1,2268,964982989
4.0,1,2273,964982310
5.0,1,2291,964983664
5.0,1,2329,964983263
2.0,1,2338,964983546
5.0,1,2353,964983861
4.0,1,2366,964982462
5.0,1,2387,964983123
2.0,1,2389,964983094
5.0,1,2395,964981093
4.0,1,2406,964982310
3.0,1,2414,964982513
5.0,1,2427,964982242
4.0,1,2450,964982620
5.0,1,2459,964983414
5.0,1,2470,964982588
4.0,1,2478,964984169
4.0,1,2492,965719662
5.0,1,2502,964981278
3.0,1,2528,964982328
5.0,1,2529,964982242
5.0,1,2542,964981265
5.0,1,2571,964981888
5.0,1,2580,964983000
5.0,1,2596,964981144
4.0,1,2616,964983080
2.0,1,2617,964982588
4.0,1,2628,964980523
4.0,1,2640,964982377
5.0,1,2641,964982620
4.0,1,2644,964983393
4.0,1,2648,964983414
5.0,1,2654,964983393
3.0,1,2657,964983426
5.0,1,2692,964981855
5.0,1,2700,964980985
5.0,1,2716,964983414
5.0,1,2761,964982703
4.0,1,2797,964981710
4.0,1,2826,964980523
5.0,1,2858,964980868
5.0,1,2872,964981680
5.0,1,2899,964982703
4.0,1,2916,964982290
5.0,1,2944,964981872
5.0,1,2947,964982176
5.0,1,2948,964982191
5.0,1,2949,964981888
5.0,1,2959,964983282
4.0,1,2985,964983034
5.0,1,2987,964982495
5.0,1,2991,964982271
5.0,1,2993,964982242
4.0,1,2997,964980896
5.0,1,3033,964983762
5.0,1,3034,964982791
5.0,1,3052,964981208
5.0,1,3053,964984086
4.0,1,3062,964981872
5.0,1,3147,964983873
4.0,1,3168,964982495
1.0,1,3176,964983504
3.0,1,3243,964981093
3.0,1,3247,964983108
5.0,1,3253,964981107
5.0,1,3273,964983536
5.0,1,3386,964983484
4.0,1,3439,964981799
4.0,1,3440,964981799
5.0,1,3441,964982328
5.0,1,3448,964984054
5.0,1,3450,964981144
4.0,1,3479,964981725
4.0,1,3489,964981775
4.0,1,3527,964982271
5.0,1,3578,964980668
4.0,1,3617,964980683
4.0,1,3639,964982271
5.0,1,3671,964981589
5.0,1,3702,964983737
5.0,1,3703,964981909
5.0,1,3729,964982363
4.0,1,3740,964982417
4.0,1,3744,964980694
5.0,1,3793,964981855
4.0,1,3809,964981220
4.0,1,4006,964982903
5.0,1,5060,964984002
3.0,2,318,1445714835
4.0,2,333,1445715029
4.5,2,1704,1445715228
4.0,2,3578,1445714885
4.0,2,6874,1445714952
3.5,2,8798,1445714960
4.0,2,46970,1445715013
4.0,2,48516,1445715064
4.5,2,58559,1445715141
5.0,2,60756,1445714980
4.5,2,68157,1445715154
3.0,2,71535,1445714974
4.0,2,74458,1445714926
3.0,2,77455,1445714941
4.0,2,79132,1445714841
4.5,2,80489,1445715340
5.0,2,80906,1445715172
4.0,2,86345,1445715166
5.0,2,89774,1445715189
3.5,2,91529,1445714891
2.5,2,91658,1445714938
3.5,2,99114,1445714874
5.0,2,106782,1445714966
3.0,2,109487,1445715145
4.0,2,112552,1445714882
2.0,2,114060,1445715276
3.5,2,115713,1445714854
5.0,2,122882,1445715272
5.0,2,131724,1445714851
0.5,3,31,1306463578
0.5,3,527,1306464275
0.5,3,647,1306463619
0.5,3,688,1306464228
0.5,3,720,1306463595
5.0,3,849,1306463611
0.5,3,914,1306463567
0.5,3,1093,1306463627
0.5,3,1124,1306464216
0.5,3,1263,1306463569
0.5,3,1272,1306463624
3.5,3,1275,1306463323
0.5,3,1302,1306464189
3.0,3,1371,1306463561
4.5,3,1587,1306464003
0.5,3,2018,1306464175
0.5,3,2080,1306463572
0.5,3,2090,1306464261
2.0,3,2105,1306463559
4.0,3,2288,1306463631
0.5,3,2424,1306464293
5.0,3,2851,1306463925
4.5,3,3024,1306464054
0.5,3,3210,1306463638
5.0,3,3703,1306463603
0.5,3,3949,1306464245
5.0,3,4518,1306463770
0.5,3,5048,1306464284
5.0,3,5181,1306463718
5.0,3,5746,1306463708
4.5,3,5764,1306464021
5.0,3,5919,1306463825
0.5,3,6238,1306464204
5.0,3,6835,1306463670
4.5,3,7899,1306464036
5.0,3,7991,1306463684
4.5,3,26409,1306463993
5.0,3,70946,1306463815
0.5,3,72378,1306464164
3.0,4,21,986935199
2.0,4,32,945173447
3.0,4,45,986935047
2.0,4,47,945173425
3.0,4,52,964622786
3.0,4,58,964538444
4.0,4,106,986848784
5.0,4,125,964622758
1.0,4,126,986848920
5.0,4,162,945078571
3.0,4,171,945078428
5.0,4,176,964622565
2.0,4,190,945079259
5.0,4,215,945079078
1.0,4,222,945629040
5.0,4,232,964622684
2.0,4,235,945173513
3.0,4,247,986848894
5.0,4,260,945079259
5.0,4,265,964538468
1.0,4,296,945173350
5.0,4,319,945079182
5.0,4,342,964538500
4.0,4,345,945629063
4.0,4,348,964622786
3.0,4,351,986934901
3.0,4,357,964623306
4.0,4,368,945078690
2.0,4,417,945078467
1.0,4,441,986934915
2.0,4,450,986848828
5.0,4,457,945079259
